"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mgarp",8.70738972405489e-48,1.21404566258065,1,0.983,1.03173860840326e-43,"Med.A1","Mgarp"
"Csmd1",9.29885681421472e-48,-2.45048730902911,0.239,0.958,1.1018215439163e-43,"Med.A1","Csmd1"
"Akap6",9.42399757253286e-48,-1.81234228414054,0.917,0.996,1.11664947236942e-43,"Med.A1","Akap6"
"Tspan9",9.89823505539531e-48,-3.02388676487438,0.477,0.952,1.17284187171379e-43,"Med.A1","Tspan9"
"Fhod3",1.04046442198822e-47,-2.04133927971354,0.78,0.99,1.23284629361385e-43,"Med.A1","Fhod3"
"Anks1b",1.14275168042534e-47,-2.00903820648873,0.917,0.994,1.35404646613598e-43,"Med.A1","Anks1b"
"Tmem178b",1.17351921251756e-47,-2.96004672355813,0.606,0.962,1.39050291491205e-43,"Med.A1","Tmem178b"
"Cox4i1",1.56456485275036e-47,1.33744965138062,1,0.969,1.8538528940239e-43,"Med.A1","Cox4i1"
"Arnt2",1.65058806923186e-47,-3.09054594339425,0.294,0.93,1.95578180323283e-43,"Med.A1","Arnt2"
"Skap2",1.98924509542362e-47,-3.02482964715794,0.459,0.952,2.35705651356745e-43,"Med.A1","Skap2"
"Gtdc1",3.36812100232472e-47,-2.66038545770894,0.156,0.919,3.99088657565456e-43,"Med.A1","Gtdc1"
"Cacna2d3",3.44761693776162e-47,-3.18219291283524,0.798,0.987,4.08508130955375e-43,"Med.A1","Cacna2d3"
